akul@node0:~$ cat strace.txt
49090 09:09:44.144718 --- SIGCHLD {si_signo=SIGCHLD, si_code=CLD_EXITED, si_pid=49689, si_uid=20001, si_status=0, si_utime=43, si_stime=14} ---
49090 09:09:44.146285 munmap(0x7f4ff8ffb000, 50352128) = 0 <0.002604>
49090 09:09:44.149422 munmap(0x7f4fa3ff6000, 201347072) = 0 <0.008218>
49726 09:09:44.160452 brk(NULL)         = 0x55bde068c000 <0.000011>
49726 09:09:44.160519 mmap(NULL, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0) = 0x7f188a959000 <0.000010>
49726 09:09:44.160612 mmap(NULL, 35647, PROT_READ, MAP_PRIVATE, 7, 0) = 0x7f188a950000 <0.000009>
49726 09:09:44.160717 mmap(NULL, 181736, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 7, 0) = 0x7f188a923000 <0.000009>
49726 09:09:44.160742 mmap(0x7f188a92f000, 90112, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0xc000) = 0x7f188a92f000 <0.000012>
49726 09:09:44.160770 mmap(0x7f188a945000, 32768, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x22000) = 0x7f188a945000 <0.000010>
49726 09:09:44.160796 mmap(0x7f188a94d000, 12288, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x2a000) = 0x7f188a94d000 <0.000010>
49726 09:09:44.160908 mmap(NULL, 640728, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 7, 0) = 0x7f188a886000 <0.000010>
49726 09:09:44.160935 mmap(0x7f188a8a3000, 335872, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x1d000) = 0x7f188a8a3000 <0.000011>
49726 09:09:44.160963 mmap(0x7f188a8f5000, 163840, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x6f000) = 0x7f188a8f5000 <0.000010>
49726 09:09:44.160995 mmap(0x7f188a91d000, 24576, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x97000) = 0x7f188a91d000 <0.000010>
49726 09:09:44.161111 mmap(NULL, 94296, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 7, 0) = 0x7f188a86e000 <0.000009>
49726 09:09:44.161136 mmap(0x7f188a874000, 45056, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x6000) = 0x7f188a874000 <0.000011>
49726 09:09:44.161163 mmap(0x7f188a87f000, 20480, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x11000) = 0x7f188a87f000 <0.000009>
49726 09:09:44.161188 mmap(0x7f188a884000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x16000) = 0x7f188a884000 <0.000009>
49726 09:09:44.161300 mmap(NULL, 341888, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 7, 0) = 0x7f188a81a000 <0.000011>
49726 09:09:44.161330 mmap(0x7f188a82f000, 151552, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x15000) = 0x7f188a82f000 <0.000012>
